id,selected,part_of_speech,tags,english,chinese,norwegian_base,verb_present_tense,verb_past_tense,verb_imperative,noun_plural,noun_singular_definite,noun_plural_definite,adjective_neuter_form,adjective_plural_form,adjective_comparative,adjective_superlative_indefinite,adjective_superlative_definite,adverb_comparative,adverb_superlative
wb_6fceada41e0837e820215c722d8eb242bbab8987260571497b9daddcca8cd696,true,ordinal_number,series,twenty-first,第二十一,tjueførste,,,,,,,,,,,,,
wb_e9007d98491c5e85cdd49341523b2d77010a569598b8cc4f04e68f77dd2470c2,true,ordinal_number,series,twenty-second,第二十二,tjueandre,,,,,,,,,,,,,
wb_e5e7b2397ff159e2deb7b390f16f7c2d49a2cd7c3e6232d0950184addd21fe27,true,ordinal_number,series,twenty-third,第二十三,tjuetredje,,,,,,,,,,,,,
wb_e9580d60bd422a2333f10a44822a95c60c5600fc113b7dc2ad814be23cd36338,true,ordinal_number,series,twenty-fourth,第二十四,tjuefjerde,,,,,,,,,,,,,
wb_1090f1215b5f3826dfa7a6b7ea447306a04b671b9c4dd03598dedb08dcf88b03,true,ordinal_number,series,twenty-fifth,第二十五,tjuefemte,,,,,,,,,,,,,
wb_759e118f383b0b6267a12ce658831a43783210b34ea49b7d58e901bd768345fe,true,ordinal_number,series,twenty-sixth,第二十六,tjuesjette,,,,,,,,,,,,,
wb_a7774d2a0a1fbfe45d27b3fcf1c410097f962edf67bb88c82538719079ad3f1a,true,ordinal_number,series,twenty-seventh,第二十七,tjuesjuende,,,,,,,,,,,,,
wb_da33ac0ebb7ba82334ea79e075f1152af2c119af91f5270c20843a80b8b99dfb,true,ordinal_number,series,twenty-eighth,第二十八,tjueåttende,,,,,,,,,,,,,
wb_60fe614756eb1651eef99902ca835caf7e3173bc6d7201b2e733bbc4a27ce48e,true,ordinal_number,series,twenty-ninth,第二十九,tjueniende,,,,,,,,,,,,,
wb_55736edba5f524d2d46157ec576b0530eec70767cfb6579e1a487d0e5afe7172,true,ordinal_number,series,thirtieth,第三十,trettiende,,,,,,,,,,,,,
wb_d1dd099ca1971af3b9c8d2a112fda448e03e296ac96f74573bce75c5fee9bab6,true,ordinal_number,series,fortieth,第四十,førtiende,,,,,,,,,,,,,
wb_c276625de3d720c41c8d6ab227514123c9d260c57c27200af6cb0422c751b719,true,ordinal_number,series,fiftieth,第五十,femtiende,,,,,,,,,,,,,
wb_0d6b1bcd3f49bb2ee74fb291c8b75b25e89d710cd3b743cda2e966e3d92853a3,true,ordinal_number,series,sixtieth,第六十,sekstiende,,,,,,,,,,,,,
